datetime,shape,duration (seconds),latitude,longitude 
06/19/13,changing,2700,53.726835,-6.874833
08/04/10,light,300,53.723876,-9.001736
03/17/10,oval,10,53.717856,-6.356099
06/06/10,circle,60,53.716667,-1.85
05/12/10,other,60,53.716667,-0.333333
06/05/10,circle,30,53.716667,-0.333333
07/30/11,oval,1800,53.716667,-0.333333
08/08/11,light,600,53.716667,-0.333333
06/04/12,light,300,53.716667,-0.333333
10/20/13,other,3600,53.710071,16.69936
12/15/12,light,1,53.7,-2.466667
06/04/11,sphere,600,53.7,-1.916667
04/08/10,circle,120,53.7,-1.233333
12/23/10,triangle,3600,53.666667,-3
09/24/12,circle,60,53.666667,-3
10/18/10,rectangle,120,53.65,-1.333333
09/16/13,disk,5,53.633333,-113.633333
08/15/12,triangle,60,53.616667,-2.15
10/07/12,circle,1800,53.605548,-6.656417
05/01/10,flash,900,53.583333,-116.416667
06/30/10,circle,600,53.574158,-2.425823
05/09/10,fireball,8,53.55,-113.5
08/04/10,formation,20,53.55,-113.5
10/09/11,other,1200,53.55,-113.5
01/11/12,unknown,1200,53.55,-113.5
06/20/12,changing,240,53.55,-113.5
09/25/12,fireball,300,53.55,-113.5
03/05/13,rectangle,120,53.55,-113.5
09/10/13,unknown,15,53.55,-113.5
01/16/14,formation,1200,53.55,-113.5
04/30/14,triangle,900,53.55,-113.5
09/25/10,fireball,20,53.55,-2.116667
10/13/11,oval,60,53.55,-2.116667
04/03/13,light,30,53.55,-0.483333
08/31/13,circle,300,53.542785,-113.903367
09/08/11,light,600,53.533333,-113.916667
03/12/10,light,120,53.533333,-2.8
07/02/10,,30,53.533333,-2.616667
02/26/11,formation,15,53.533333,-1.116667
01/14/12,triangle,600,53.533333,-1.116667
04/15/12,circle,120,53.533333,-1.116667
07/04/11,light,600,53.520232,-6.085078
09/29/11,formation,8,53.516667,-113.316667
09/21/12,formation,180,53.513523,-6.540252
06/24/10,light,240,53.5,-2.216667
07/02/10,fireball,180,53.5,-2.216667
06/12/11,circle,900,53.5,-2.216667
12/14/11,fireball,3,53.5,-2.216667
01/13/12,other,30,53.5,-2.216667
08/15/12,circle,120,53.5,-2.216667
04/15/10,circle,5,53.45,-2.733333
09/11/10,disk,10,53.45,-1.25
07/11/10,flash,6,53.433333,-1.35
07/30/11,sphere,10,53.433333,-1.35
12/23/11,other,60,53.433333,-1.35
12/31/12,light,300,53.433333,-1.35
04/28/11,disk,5,53.416667,-3
01/18/13,unknown,900,53.416667,-3
03/25/10,other,300,53.416667,-2.3
12/07/13,sphere,10,53.4,-117.583333
08/10/10,light,120,53.4,-3.083333
03/18/14,sphere,1200,53.386944,-6.377778
10/30/11,other,60,53.383333,-2.6
09/24/13,disk,120,53.383333,-2.6
07/29/12,light,10800,53.366667,-113.733333
05/07/12,oval,180,53.366667,-1.5
07/10/10,cylinder,300,53.366667,-0.016667
12/25/13,triangle,300,53.352426,-113.415373
05/22/10,unknown,4,53.35,-2.216667
04/09/13,cigar,10,53.333333,-113.533333
02/08/11,other,1500,53.333333,-110.333333
01/14/11,other,30,53.333333,-3.083333
01/23/10,sphere,1,53.324061,-3.827609
02/12/10,formation,600,53.324061,-3.827609
05/07/14,triangle,40,53.316667,-3.1
01/27/12,light,15,53.301683,-60.326084
06/29/12,sphere,10,53.3,-107.05
06/01/11,sphere,259200,53.3,-3.75
02/07/10,,300,53.3,-2.366667
03/23/11,sphere,180,53.296374,-3.72542
04/02/12,disk,14400,53.283333,-110
01/03/11,sphere,600,53.283333,-3.833333
01/02/14,flash,5,53.283333,-3.25
10/14/10,other,180,53.266667,-2.5
09/26/13,oval,3,53.258013,-113.550222
09/09/13,unknown,90,53.25,-113.783333
11/11/12,circle,60,53.25,-2.116667
02/26/14,other,10,53.25,-2.116667
01/03/10,light,120,53.248236,-3.13577
